title,link,channelId,date
"Concept of Race, Ethnicity and Populations (ANT)",https://www.youtube.com/watch?v=XNAiBpGUBak,UCCUr096WDp86n62CXBeHlQw,2016-11-22T09:05:57Z
ETHNICITY TAG - WHERE ARE WE FROM??,https://www.youtube.com/watch?v=IZI7XjMQe7k,UCsx_pqGXW8G8o0MSSmRTlMw,2017-12-04T03:50:35Z
Major ethnic groups in Morocco and their peculiarities,https://www.youtube.com/watch?v=3CWl1Q9KpWA,UCUP89sciKQMGFCm0V3kxhlw,2020-05-29T17:00:04Z
GUESS MY ETHNICITY TikTok Challenge 🌏😱 *i lost...*,https://www.youtube.com/watch?v=U_fWeekoBSI,UCEQiEyMO9ci0Y-KwLOF4ysQ,2019-09-18T17:11:05Z
"The “ethnic cleansing” of Myanmar’s Rohingya Muslims, explained",https://www.youtube.com/watch?v=04axDDRVy_o,UCLXo7UDZvByw2ixzpQCufnA,2017-09-25T12:00:01Z
Who are Myanmar’s ethnic armed groups? - BBC News,https://www.youtube.com/watch?v=XU7SFQmEips,UC16niRr50-MSBwiO3YDb3RA,2021-06-19T01:30:04Z
Ethnicity and Nationalism by Ashutosh Varshney,https://www.youtube.com/watch?v=ALI_w2ZrxfQ,UC8rwAt7jPEVdVcwuf8Ni34g,2015-11-08T23:18:48Z
Race and Ethnicity Through Hair | Tiana Barkley | TEDxNewarkAcademy,https://www.youtube.com/watch?v=jFd96USLjbM,UCsT0YIqwnpJCM-mx7-gSA4Q,2016-10-25T14:27:34Z
"नृजातिकता/Ethnicity,प्रोफेसर सुखदेव",https://www.youtube.com/watch?v=MFVxFe7pR8c,UCa0836QznkVylH85q7aSwiQ,2020-06-03T09:09:38Z
A summary of Ethnicity and educational attainment in sociology,https://www.youtube.com/watch?v=G9fD-Y27et8,UC33716taRpGkTuOI1HF1p3w,2015-05-09T14:54:36Z
Ethnicity and Educational achievement - Internal factors,https://www.youtube.com/watch?v=Ii9GwnTvJeI,UCx9D5bVS2lmNupqfLZwCJ4A,2015-03-20T11:31:19Z
The impact of Ethnicity on National Unity and Development in Nigeria,https://www.youtube.com/watch?v=dgneHhpgO1A,UCSlUqiHqu4Uk85w_x5PuX9w,2019-08-10T15:03:43Z
