username,displayName,tweet,likes,retweets,link,date
Sbdsng,Abrahams Isaac Adigun,"When Biafran Goodluck Ebele Jonathan was the President, the people incharge of amending the constitution to create additional state and to restructure Nigeria were all Biafrans 

Restructuring never crossed their minds then, but why now? I think it's actually about food not..... https://t.co/vFpheyKFev",36,23,https://twitter.com/Sbdsng/status/1390976099983704065,2021-05-08 10:25:19+00:00
Maheeda__miz,Maheeda 💕,"Who remember this guy @uwebaltner ???

Him don start again 🤣🤣

Fulani Sunday Igboho Burna Justine Bieber yoruba kanu north Bello GANI Adams it is finished #OfficialRoqzeeMerch #WONDALAND Soro Soke Awolowo #Justice Omah lay #RestructuringNigeria #OnlyTogether https://t.co/Ciex7NSdXQ",5,1,https://twitter.com/Maheeda__miz/status/1372863640450314240,2021-03-19 10:52:53+00:00
Maheeda__miz,Maheeda 💕,"@bisuclef I agree with you, restructuring is not just something one person can handle, everyone needs to come together if we truly want to restructure our country especially on the Security challenges we're facing currently.
#RestructuringNigeria",2,0,https://twitter.com/Maheeda__miz/status/1372480163334791170,2021-03-18 09:29:05+00:00
Maheeda__miz,Maheeda 💕,"@bisuclef Because at this point all power will be on the  State government to make sure they secure their States.
#RestructuringNigeria",0,0,https://twitter.com/Maheeda__miz/status/1372478537303736321,2021-03-18 09:22:37+00:00
Maheeda__miz,Maheeda 💕,"@bisuclef Just as an advocacy group, South East, South South Professionals of Nigeria (SESSPN) has insisted that the restructuring of the country holds the key to solving the security challenges in the land.
 #RestructuringNigeria",2,2,https://twitter.com/Maheeda__miz/status/1372477951900594178,2021-03-18 09:20:17+00:00
toyosky4real,Toyosi WellBeing Couture ✂️🧵,"is wrong with Nigeria, now you want Biafra, you want restructuring, Nigeria is now forbidden, you people should go rest and let's us have peace in Nigeria",0,0,https://twitter.com/toyosky4real/status/1370116739518898176,2021-03-11 20:57:40+00:00
toyosky4real,Toyosi WellBeing Couture ✂️🧵,"your Igbo governors not to develop south east region, when your Igbo president GEJ was in power Nigeria was working, you never wanted restructuring and Biafra, there was nothing wrong with Fulani Herdsmen, kidnapping was never a crime now Fulani man is in Aso-Rock everything",0,0,https://twitter.com/toyosky4real/status/1370116736889065472,2021-03-11 20:57:40+00:00
solomonislands3,solomonislandsblog,"""Ojukwu &amp; Gowon agreed on restructuring Nigeria at Aburi but Gowon came back &amp; denied the agreement. Millions of lives were lost cus of that single denial.2day we are clamouring for the same restructuring we rejected 53yrs https://t.co/jeBOPfTvCn Nigeria a confused country? https://t.co/kqrUIfk21O",0,0,https://twitter.com/solomonislands3/status/1368516347798446082,2021-03-07 10:58:17+00:00
ohiozei,Ohiozei,@yomslim @sstnewsng That's why we need to first accept restructuring Nigeria. When each state keeps getting allocation from Fed Govt monthly why work hard?,1,0,https://twitter.com/ohiozei/status/1364245718207193093,2021-02-23 16:08:20+00:00
cklaemz,cklaemz-abuja,"@AITFocusNigeria Obasanjo from South was Nigeria's president for eight years and Jonathan, also from South was President for Six years. Total is Fourteen years. Why didn't they carry out restructuring of the Nigerian constitution?",0,0,https://twitter.com/cklaemz/status/1363787687807889408,2021-02-22 09:48:17+00:00
sholakendrick,💭 OMO-Ologo Kendrick💙💖,"Nigeria Need Restructuring.
1st we change The name Nigeria Cos seems na failure e literally Mean.
#EndSARS #EndBadGoveranceInNigeria #EndPoliceBrutality",1,0,https://twitter.com/sholakendrick/status/1360570945174450179,2021-02-13 12:46:06+00:00
AluyoCollins,Saint Collins,"@heynigeria @DeleFarotimi @alumsson @amocoboy @MariatuOmoake @funshographix @MOVEMENTOFTHEP1 Yes indeed. Nigerians can now present this document any time any one ask what is restructuring is. This can form the basis for a referendum. A new Nigeria is not just possible, but near. The struggle must be sustained.",1,1,https://twitter.com/AluyoCollins/status/1356179471393579010,2021-02-01 09:55:57+00:00
fashakin87,FASAKIN GABRIEL,"@Joejohnseen @henryshield Restructuring to .e is waste of time ,money ,energy 
We all know power that be won't allow it 
What Nigeria need is the right minds leading the country in all aspects of governance",0,0,https://twitter.com/fashakin87/status/1353344371635195905,2021-01-24 14:10:16+00:00
Arolbrown,Chief Aroloye Brown,@sunrisedailynow What is Restructuring? Why are people afraid of Restructuring Nigeria? Why are they running around and avoiding the truth. They all Restructure their families one way or the other but denied Nigeria that benefit.  There is God o!,0,0,https://twitter.com/Arolbrown/status/1352505221453328384,2021-01-22 06:35:47+00:00
princejeff2,Ebube,Nigeria and it’s leaders has closed their ears  in the restructuring of The Country and its security.. The way this country is going one day a sitting President or Governor will be abducted and nothing will happen. #Kastina #Buhari #SackServiceChiefs,0,0,https://twitter.com/princejeff2/status/1337837407383785479,2020-12-12 19:11:08+00:00
bocanter3,bocanter,"@bocanter3 We all cry loud about restructuring Nigeria but no Nigeria wants to restructure their lives of earthly acquisitions,selfishness, greed and corrupt intents. Nigeria is only a space occupied by people.",0,0,https://twitter.com/bocanter3/status/1336338088113491968,2020-12-08 15:53:22+00:00
abduldanja87,Mallam Abdul Danja,Restructuring in my mind is this our problm and courses for insecurity in the Northern Nigeria today? https://t.co/M1qEFRfTtl,8,0,https://twitter.com/abduldanja87/status/1333692942893125632,2020-12-01 08:42:31+00:00
haderotaki,Hader Otaki,"In fact, the whole Africa need restructuring and not just Nigeria. This is extremely sad, that even on the soil of Africa, you can't be her son. https://t.co/sqZsK4DLOb",7,10,https://twitter.com/haderotaki/status/1329442702233112577,2020-11-19 15:13:34+00:00
misalmanu,Musa Salmanu,We were here before. D clamor for restructuring is not new nor is it original especially for later day converts. It’s high time we stopped this madness of thinking any region will be a sole loser in a restructured and regionally stronger Nigeria. We’d all be fine and better off. https://t.co/SCGza16JSQ,4,4,https://twitter.com/misalmanu/status/1328280431570120704,2020-11-16 10:15:07+00:00
godswill4000,Good Governance Advocate,"@TheresaTekenah Everything Sector need reform in Nigeria from the Executive to the Judiciary and other components like electoral reform. Restructuring is the answer, continuous shying away from it is a deliberate act by the few to delay or denied our freedom &amp; progress.",0,0,https://twitter.com/godswill4000/status/1325412437869408256,2020-11-08 12:18:44+00:00
Paschall77,Nwa-Afor,"There'll never be any significant change in Nigeria, no matter how much we try until we embrace RESTRUCTURING
Restructuring Nigeria is the only way out of the mess we're already into. Most regrettably our President doesn't want to hear the word  ""RESTRUCTURING"" from anyone",0,0,https://twitter.com/Paschall77/status/1321400741030957056,2020-10-28 10:37:41+00:00
KodjoJohnson,Johnson Oluwaseun,"Please contribute to the restructuring of your Nation Nigeria. Some progressive Youth organizations are already reviewing the 1999 Constitution and sharing information to raise awareness, suggestions, as well as their demands. Let’s all participate. https://t.co/ZrSlQ9zUYh",2,2,https://twitter.com/KodjoJohnson/status/1321103472373256193,2020-10-27 14:56:27+00:00
CaisyGidson,CaisyGidson-Alagbarigha✡︎,"The restructuring of Nigeria’ political system to reflect the conditions of a federation is the ultimate grail that would eventually set the stage for the attainment of socioeconomic diversification, which is expected to breed healthy competitiveness amongst Federating Units. https://t.co/YhlxVGxzCY",1,0,https://twitter.com/CaisyGidson/status/1319261875016769536,2020-10-22 12:58:36+00:00
