username,displayName,tweet,likes,retweets,link,date
obyezeks,Oby Ezekwesili,"The focused activities on having more women in Politics which organizations like @wipfng  , @ElectHER_NG @womenfundng do are critical for bridging the unacceptable political representation gap. The national average of women’s political participation in Nigeria is a dismal 6.7%🤦🏾‍♀️",26,6,https://twitter.com/obyezeks/status/1527247877650714624,2022-05-19 11:20:43+00:00
obyezeks,Oby Ezekwesili,"I join all women to thank the Coalition that took the Affirmation Action matter to court.: 
@womenfundng  Women Trust Fund (NWTF), Women Empowerment and Legal Aid (WELA), Women in Politics Forum (WIPF) @wipfng , @CDDWestAfrica  @abiolaak and @womenadvocate , @YIAGA , FIDA",7,1,https://twitter.com/obyezeks/status/1511752996480290820,2022-04-06 17:09:36+00:00
obyezeks,Oby Ezekwesili,"I join all women to thank the Coalition that took the Affirmation Action matter to court.: 

@nwtfNigerian Women Trust Fund (NWTF), Women Empowerment and Legal Aid (WELA), Women in Politics Forum (WIPF) @wipfng , @CDDWestAfrica  @abiolaak and @womenadvocate , @YIAGA , FIDA …",11,4,https://twitter.com/obyezeks/status/1511749877105053704,2022-04-06 16:57:12+00:00
AishaYesufu,Aisha Yesufu,"On *#90MinutesAfrica* this Sunday, *April 3, 2022,* the indefatigable gender and rights activist,*Aisha Yesufu,*will discuss the issue of women in politics in Nigeria, the hijab controversy in schools, &amp; eight years after *#BringBackOurGirls,* among other issues. Make it a date! https://t.co/fHis9AcSZU",144,24,https://twitter.com/AishaYesufu/status/1510056126049624075,2022-04-02 00:46:50+00:00
ShehuSani,Senator Shehu Sani,"@AbujaDiscourse @Laurettaliah @buky @YaliAbuja @IloriAgain @AdaOkoli_ @OSIWA1 @EUinNigeria @SwedeninNigeria @EmbEspAbuja @PrettieAdiela Women in politics are subject to abuses and blackmail by the men.For a woman to succeed in politics,she is compelled to either bow to the diktats of the ‘godfathers’ or be as ruggedly indecorous  as her male counterparts.",26,21,https://twitter.com/ShehuSani/status/1240361302087938048,2020-03-18 19:35:53+00:00
ShehuSani,Senator Shehu Sani,"@AbujaDiscourse @Laurettaliah @buky @YaliAbuja @IloriAgain @AdaOkoli_ @OSIWA1 @EUinNigeria @SwedeninNigeria @EmbEspAbuja @PrettieAdiela Our society holds a negative moral view of women in politics,hence many women shy away from it and that must change.A husband of a woman politician is viewed negatively ‘as the wife’.",21,18,https://twitter.com/ShehuSani/status/1240360126638366720,2020-03-18 19:31:13+00:00
